episode,length,totalReward,avgQ,exploration
419,1000,-79.70589918188405,69.28919219970703,0.12309886885842211
420,1000,18.707259457988208,69.2624282836914,0.12248643667504688
421,90,-1.6071758123343756,68.9482650756836,0.12187705141795711
422,1000,8.755712777570384,69.00504302978516,0.12127069792831555
423,1000,-14.76294254684367,69.02015686035156,0.12066736112270204
424,962,112.90497465914811,69.17900085449219,0.12006702599273837
425,1000,-80.4071380436727,69.61772918701172,0.11946967760471482
426,807,157.46480480926144,69.75444030761719,0.11887530109921873
427,902,186.74979484762136,68.93574523925781,0.11828388169076492
428,498,220.40645127140328,68.95350646972656,0.1176954046674278
429,536,248.0629095313783,68.49897766113281,0.11710985539047543
430,1000,-23.22759798570136,68.6324234008789,0.11652721929400542
431,580,288.9633057248221,68.48526000976562,0.11594748188458252
432,602,231.5168562745459,68.03547668457031,0.11537062874087814
433,641,245.33208081086,68.6319580078125,0.11479664551331159
434,495,291.65976433131425,68.55025482177734,0.11422551792369313
435,222,273.4392700227984,68.25170135498047,0.1136572317648688
436,719,172.0107711530436,68.80470275878906,0.11309177290036698
437,719,236.8901890114205,68.75628662109375,0.11252912726404676
438,1000,102.03745075695471,68.90330505371094,0.11196928085974804
439,619,210.74387032889481,68.72330474853516,0.11141221976094334
440,952,159.7115477587221,68.59782409667969,0.1108579301103914
441,473,264.26640818054136,68.52267456054688,0.11030639811979245
442,195,14.291995532939552,68.44688415527344,0.10975761006944523
443,464,247.57777574315588,68.04115295410156,0.10921155230790572
444,1000,-76.82515301066994,68.64320373535156,0.1086682112516475
445,539,198.01435139149046,68.96649169921875,0.10812757338472388
446,1000,-12.071289369526193,68.76667785644531,0.10758962525843173
447,1000,26.00271106096561,69.17527770996094,0.10705435349097686
448,1000,40.574256942852756,68.1287612915039,0.10652174476714117
449,823,185.49730619315392,68.43596649169922,0.10599178583795142
450,1000,-37.47357767493264,68.07091522216797,0.10546446352034969
451,383,273.96479355211545,68.13459777832031,0.10493976469686538
452,287,274.68284499777025,68.0029296875,0.10441767631528895
453,510,244.76572437588717,68.46180725097656,0.10389818538834722
454,498,261.98446640169345,68.44713592529297,0.10338127899338033
455,1000,-129.2309622746527,68.29935455322266,0.10286694427202024
456,799,193.8754198115137,68.50621032714844,0.1023551684298709
457,225,24.332697114271284,68.2178955078125,0.10184593873618997
458,460,244.27607637177977,68.82035827636719,0.10133924252357211
459,419,288.450300642309,68.86033630371094,0.10083506718763395
460,937,157.39631691769364,68.91148376464844,0.10033340018670046
461,1000,-24.369349421957043,68.37489318847656,0.09983422904149301
